title,stars
The King: Eternal Monarch,"Lee Min-Ho, Kim Go-eun, Woo Do-Hwan, Kim Kyung-Nam"
Rust and Bone,"Jacques Audiard, |, Stars:, Marion Cotillard, Matthias Schoenaerts, Armand Verdure, Céline Sallette"
22 July,"Paul Greengrass, |, Stars:, Anders Danielsen Lie, Jonas Strand Gravli, Jon Øigarden, Maria Bock"
The SpongeBob Movie: Sponge on the Run,"Tim Hill, |, Stars:, Tim Hill, Clancy Brown, Bill Fagerbakke, Rodger Bumpass"
Dumbo,"Samuel Armstrong, Norman Ferguson, Wilfred Jackson, Jack Kinney, Bill Roberts, Ben Sharpsteen, John Elliotte, |, Stars:, Sterling Holloway, Edward Brophy, Herman Bing, Billy Bletcher"
Jaadugar,"Sameer Saxena, |, Stars:, Jitendra Kumar, Arushi Sharma, Jaaved Jaaferi, Raksha Panwar"
Alexa & Katie,"Paris Berelc, Isabel May, Jolie Jenkins, Emery Kelly"
The Painted Veil,"John Curran, |, Stars:, Naomi Watts, Edward Norton, Liev Schreiber, Catherine An"
That Time I Got Reincarnated as a Slime,"Miho Okasaki, Megumi Toyoguchi, Brittney Karbowski, Mallorie Rodak"
Deadly Class,"Benedict Wong, Benjamin Wadsworth, Lana Condor, María Gabriela de Faría"
Dangerous,"David Hackl, |, Stars:, Scott Eastwood, Kevin Durand, Famke Janssen, Tyrese Gibson"
I Spit on Your Grave 2,"Steven R. Monroe, |, Stars:, Jemma Dallender, Joe Absolom, Yavor Baharov, George Zlatarev"
SAS: Red Notice,"Magnus Martens, |, Stars:, Sam Heughan, Ruby Rose, Andy Serkis, Hannah John-Kamen"
My Little Pony: Friendship Is Magic,"Ashleigh Ball, Tara Strong, Tabitha St. Germain, Andrea Libman"
The Figo Affair: The Transfer that Changed Football,"Ben Nicholas, David Tryhorn, |, Stars:, Roberto Carlos, José Ramón de la Morena, José Félix Díaz, Luis Figo"
Raising Dion,"Alisha Wainwright, Ja'Siah Young, Jason Ritter, Sammi Haney"
Chappelle's Show,"Dave Chappelle, Donnell Rawlings, Rudy Rush, Charlie Murphy"
Cam,"Daniel Goldhaber, |, Stars:, Madeline Brewer, Patch Darragh, Melora Walters, Devin Druid"
Eternally Confused and Eager for Love,"Vihaan Samat, Jim Sarbh, Dalai, Devika Vatsa"
Taken 3,"Olivier Megaton, |, Stars:, Liam Neeson, Forest Whitaker, Maggie Grace, Famke Janssen"
Better Watch Out,"Chris Peckover, |, Stars:, Olivia DeJonge, Levi Miller, Ed Oxenbould, Aleks Mikic"
The Wind Rises,"Hayao Miyazaki, |, Stars:, Hideaki Anno, Hidetoshi Nishijima, Miori Takimoto, Masahiko Nishimura"
The Bletchley Circle,"Rachael Stirling, Julie Graham, Sophie Rundle, Anna Maxwell Martin"
Miss Bala,"Catherine Hardwicke, |, Stars:, Gina Rodriguez, Thomas Dekker, Vivian Chan, Barbarella Pardo"
Mowgli: Legend of the Jungle,"Andy Serkis, |, Stars:, Christian Bale, Cate Blanchett, Benedict Cumberbatch, Naomie Harris"
Fire Force,"Derick Snow, Alexis Tipton, Eric Vale, Jeremy Inman"
Keep Sweet: Pray and Obey,"Elissa Wall, Mike Watkiss, Rebecca Musser, Ruby Jessop"
Castle in the Sky,"Hayao Miyazaki, |, Stars:, Mayumi Tanaka, Keiko Yokozawa, Kotoe Hatsui, Minori Terada"
The Package,"Jake Szymanski, |, Stars:, Daniel Doheny, Geraldine Viswanathan, Sadie Calvano, Luke Spencer Roberts"
Wish Dragon,"Chris Appelhans, |, Stars:, Jimmy Wong, John Cho, Constance Wu, Natasha Liu Bordizzo"
A Model Family,"Woo Jung, Hee-soon Park, Yoon Jin Seo, Park Ji-Yeon"
The Professor and the Madman,"Farhad Safinia, |, Stars:, Mel Gibson, Sean Penn, Eddie Marsan, Natalie Dormer"
Nausicaä of the Valley of the Wind,"Hayao Miyazaki, |, Stars:, Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya"
Masters of the Universe: Revelation,"Sarah Michelle Gellar, Lena Headey, Mark Hamill, Tiffany Smith"
Circle,"Aaron Hann, Mario Miscione, |, Stars:, Allegra Masters, Aimee McKay, Ashley Key, Autumn Federici"
Deadly Illusions,"Anna Elizabeth James, |, Stars:, Dermot Mulroney, Kristin Davis, Shanola Hampton, Greer Grammer"
The Outsider,"Martin Zandvliet, |, Stars:, Jared Leto, Tadanobu Asano, Kippei Shîna, Shioli Kutsuna"
Going in Style,"Zach Braff, |, Stars:, Michael Caine, Alan Arkin, Ann-Margret, Matt Dillon"
The Hardy Boys,"Rohan Campbell, Alexander Elliot, Keana Lyn, Adam Swain"
Dumplin',"Anne Fletcher, |, Stars:, Danielle Macdonald, Jennifer Aniston, Odeya Rush, Maddie Baillio"
Black Money Love,"Engin Akyürek, Tuba Büyüküstün, Erkan Can, Saygin Soysal"
The Ridiculous 6,"Frank Coraci, |, Stars:, Adam Sandler, Terry Crews, Jorge Garcia, Taylor Lautner"
Happiness,"Han Hyo-joo, Park Hyung-sik, Woo-jin Jo, Joo-hee Park"
Paradise PD,"Sarah Chalke, David Herman, Tom Kenny, Kyle Kinane"
Wine Country,"Amy Poehler, |, Stars:, Amy Poehler, Rachel Dratch, Ana Gasteyer, Maya Rudolph"
Planes,"Klay Hall, |, Stars:, Carlos Alazraqui, Dane Cook, Stacy Keach, Brad Garrett"
Sharknado,"Anthony C. Ferrante, |, Stars:, Ian Ziering, Tara Reid, John Heard, Cassandra Scerbo"
Step Up 2: The Streets,"Jon M. Chu, |, Stars:, Robert Hoffman, Briana Evigan, Cassie Ventura, Adam Sevani"
The Witcher: Nightmare of the Wolf,"Kwang Il Han, |, Stars:, Theo James, Mary McDonnell, Lara Pulver, Graham McTavish"
Abducted in Plain Sight,"Skye Borgman, |, Stars:, Jan Broberg, Bob Broberg, Mary Ann Broberg, Susan Broberg"
The Promise,"Terry George, |, Stars:, Oscar Isaac, Charlotte Le Bon, Christian Bale, Daniel Giménez Cacho"
Don't Listen,"Ángel Gómez Hernández, |, Stars:, Rodolfo Sancho, Ana Fernández, Ramón Barea, Belén Fabra"
When We First Met,"Ari Sandel, |, Stars:, Adam Devine, Alexandra Daddario, Shelley Hennig, Andrew Bachelor"
The Rising of the Shield Hero,"Kaito Ishikawa, Asami Seto, Billy Kametz, Erica Mendez"
Collateral,"Carey Mulligan, Nathaniel Martello-White, Hayley Squires, Vineeta Rishi"
Fullmetal Alchemist,"Fumihiko Sori, |, Stars:, Ryôsuke Yamada, Tsubasa Honda, Dean Fujioka, Misako Renbutsu"
I Am Mother,"Grant Sputore, |, Stars:, Luke Hawker, Rose Byrne, Maddie Lenton, Hazel Sandery"
The Wrath of God,"Sebastián Schindel, |, Stars:, Macarena Achaga, Diego Peretti, Juan Minujín, Mónica Antonópulos"
The Last Stand,"Jee-woon Kim, |, Stars:, Arnold Schwarzenegger, Forest Whitaker, Johnny Knoxville, Rodrigo Santoro"
The Clovehitch Killer,"Duncan Skiles, |, Stars:, Dylan McDermott, Charlie Plummer, Samantha Mathis, Madisen Beaty"
Neon Genesis Evangelion: The End of Evangelion,"Hideaki Anno, Kazuya Tsurumaki, |, Stars:, Megumi Ogata, Megumi Hayashibara, Yûko Miyamura, Kotono Mitsuishi"
Being Human,"Lenora Crichlow, Russell Tovey, Aidan Turner, Sinéad Keenan"
Brooklyn's Finest,"Antoine Fuqua, |, Stars:, Richard Gere, Don Cheadle, Ethan Hawke, Wesley Snipes"
Crossing Lines,"Tom Wlaschiha, Donald Sutherland, Lara Rossi, William Fichtner"
Tidelands,"Charlotte Best, Marco Pigossi, Aaron Jakubenko, Mattias Inwood"
Drop Dead Diva,"Brooke Elliott, Margaret Cho, Kate Levering, April Bowlby"
Thelma,"Joachim Trier, |, Stars:, Eili Harboe, Kaya Wilkins, Henrik Rafaelsen, Ellen Dorrit Petersen"
Inside Job,"Charles Ferguson, |, Stars:, Matt Damon, Gylfi Zoega, Andri Snær Magnason, Sigridur Benediktsdottir"
Don't Trust the B---- in Apartment 23,"Krysten Ritter, Dreama Walker, Michael Blaiklock, Eric André"
The Privilege,"Felix Fuchssteiner, Katharina Schöde, |, Stars:, Max Schimmelpfennig, Lea van Acken, Tijan Marei, Milena Tscharntke"
Your Lie in April,"Natsuki Hanae, Risa Taneda, Ayane Sakura, Ryôta Ôsaka"
S.W.A.T.: Firefight,"Benny Boom, |, Stars:, Gabriel Macht, Robert Patrick, Carly Pope, Giancarlo Esposito"
The Valhalla Murders,"Aldís Amah Hamilton, Nína Dögg Filippusdóttir, Björn Thors, Gunnar Bersi Björnsson"
Leyla and Mecnun,"Ali Atay, Serkan Keskin, Cengiz Bozkurt, Köksal Engür"
Reckoning,"Aden Young, Sam Trammell, Simone Kessell, Milly Alcock"
Derek,"Ricky Gervais, Kerry Godliman, David Earl, Tim Barlow"
Always Be My Maybe,"Nahnatchka Khan, |, Stars:, Ali Wong, Randall Park, James Saito, Michelle Buteau"
The Secret World of Arrietty,"Hiromasa Yonebayashi, |, Stars:, Amy Poehler, Will Arnett, Mirai Shida, Ryûnosuke Kamiki"
River,"Stellan Skarsgård, Nicola Walker, Adeel Akhtar, Lesley Manville"
The Cave,"Bruce Hunt, |, Stars:, Piper Perabo, Morris Chestnut, Cole Hauser, Eddie Cibrian"
Extinction,"Ben Young, |, Stars:, Michael Peña, Lizzy Caplan, Amelia Crouch, Erica Tremblay"
Drinking Buddies,"Joe Swanberg, |, Stars:, Olivia Wilde, Jake Johnson, Anna Kendrick, Ron Livingston"
More the Merrier,"Paco Caballero, |, Stars:, Ernesto Alterio, María Morales, Luis Callejo, Anna Castillo"
Lovesick,"Johnny Flynn, Antonia Thomas, Daniel Ings, Joshua McGuire"
Bonding,"Zoe Levin, Brendan Scannell, Micah Stock, Theo Stockman"
The Laundromat,"Steven Soderbergh, |, Stars:, Gary Oldman, Antonio Banderas, AJ Meijer, Arsenio Castellanos"
Inside,"Bo Burnham, |, Star:, Bo Burnham"
How to Change Your Mind,"Michael Pollan, Erika Gagnon, Kathleen Kral, Paul Daley"
Run On,"Si-wan Yim, Shin Se-Kyung, Sooyoung Choi, Kang Tae-oh"
Komi Can't Communicate,"Aoi Koga, Gakuto Kajiwara, Rie Murakawa, Rina Hidaka"
Psycho-Pass,"Kana Hanazawa, Miyuki Sawashiro, Takahiro Sakurai, Shizuka Itô"
Black Book,"Paul Verhoeven, |, Stars:, Carice van Houten, Sebastian Koch, Thom Hoffman, Halina Reijn"
I Just Killed My Dad,"Teresa Thompson, Dana Cummings, Jarrett Ambeau, Hillar Moore"
Wounds,"Babak Anvari, |, Stars:, Armie Hammer, Zazie Beetz, Karl Glusman, Christin Rankins"
Hannibal Rising,"Peter Webber, |, Stars:, Gaspard Ulliel, Rhys Ifans, Gong Li, Aaran Thomas"
Tyler Perry's A Madea Homecoming,"Tyler Perry, |, Stars:, Tyler Perry, Cassi Davis, David Mann, Tamela J. Mann"
The Rhythm Section,"Reed Morano, |, Stars:, Blake Lively, Richard Brake, Elly Curtis, David Duggan"
My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha, Mark Fattibene, |, Stars:, Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson"
Mirrors,"Alexandre Aja, |, Stars:, Kiefer Sutherland, Paula Patton, Amy Smart, Cameron Boyce"
The Spectacular Spider-Man,"Josh Keaton, Lacey Chabert, Joshua LeBar, Grey Griffin"
Beasts of No Nation,"Cary Joji Fukunaga, |, Stars:, Abraham Attah, Emmanuel Affadzi, Ricky Adelayitor, Andrew Adote"
Akame ga Kill!,"Sôma Saitô, Corey Hartzog, Sora Amamiya, Molly Searcy"
Yes Day,"Miguel Arteta, |, Stars:, Jennifer Garner, Edgar Ramírez, Jenna Ortega, Julian Lerner"
Staged,"Michael Sheen, David Tennant, Georgia Tennant, Anna Lundberg"
Stranger,"Cho Seung-woo, Bae Doona, Lee Joon-hyuk, Jeon Bae-soo"
Borgia,"Mark Ryder, Isolda Dychauk, Diarmuid Noyes, John Doman"
Caliphate,"Gizem Erdogan, Amed Bozan, Aliette Opheim, Albin Grenholm"
The Bureau of Magical Things,"Kimie Tsukakoshi, Elizabeth Cullen, Mia Milnes, Julian Cullen"
A Futile and Stupid Gesture,"David Wain, |, Stars:, Frank Gingerich, Morgan Gingerich, Annette O'Toole, Harry Groener"
Tangerine,"Sean Baker, |, Stars:, Kitana Kiki Rodriguez, Mya Taylor, Karren Karagulian, Mickey O'Hagan"
The Mist,"Morgan Spector, Alyssa Sutherland, Gus Birney, Danica Curcic"
Big Game,"Jalmari Helander, |, Stars:, Samuel L. Jackson, Onni Tommila, Ray Stevenson, Victor Garber"
Nightbooks,"David Yarovesky, |, Stars:, Winslow Fegley, Lidya Jewett, Krysten Ritter, Jess Brown"
Republic of Doyle,"Allan Hawco, Krystin Pellerin, Mark O'Brien, Marthe Bernard"
Victoria & Abdul,"Stephen Frears, |, Stars:, Judi Dench, Ali Fazal, Tim Pigott-Smith, Eddie Izzard"
Cadaver,"Jarand Herdal, |, Stars:, Thorbjørn Harr, Maria Grazia Di Meo, Kingsford Siayor, Gitte Witt"
Making a Murderer,"Steven Avery, Dolores Avery, Laura Nirider, Allan Avery"
He-Man and the Masters of the Universe,"David Kaye, Antony Del Rio, Kimberly Brooks, Yuri Lowenthal"
The Swimmers,"Sally El Hosaini, |, Stars:, Matthias Schweighöfer, Ali Suliman, James Krishna Floyd, Alfredo Tavares"
Highschool of the Dead,"Jun'ichi Suwabe, Eri Kitamura, Nobuyuki Hiyama, Hitomi Harada"
Hold the Dark,"Jeremy Saulnier, |, Stars:, Jeffrey Wright, Alexander Skarsgård, James Badge Dale, Riley Keough"
Safe,"Boaz Yakin, |, Stars:, Jason Statham, Catherine Chan, Chris Sarandon, Robert John Burke"
The Social Dilemma,"Jeff Orlowski-Yang, |, Stars:, Tristan Harris, Jeff Seibert, Bailey Richardson, Joe Toscano"
The White Tiger,"Ramin Bahrani, |, Stars:, Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Vedant Sinha"
Thomas & Friends,"Michael Angelis, Keith Wickham, Michael Brandon, Kerry Shale"
Pasión de gavilanes,"Juan Alfonso Baptista, Paola Rey, Danna García, Mario Cimarro"
The Prom,"Ryan Murphy, |, Stars:, Meryl Streep, James Corden, Nicole Kidman, Kerry Washington"
The Takedown,"Louis Leterrier, |, Stars:, Omar Sy, Laurent Lafitte, Izïa Higelin, Dimitri Storoge"
My Octopus Teacher,"Pippa Ehrlich, James Reed, |, Stars:, Craig Foster, Tom Foster"
The Half of It,"Alice Wu, |, Stars:, Leah Lewis, Daniel Diemer, Alexxis Lemire, Wolfgang Novogratz"
Redemption,"Steven Knight, |, Stars:, Jason Statham, Agata Buzek, Vicky McClure, Benedict Wong"
Shaft,"Tim Story, |, Stars:, Samuel L. Jackson, Jessie T. Usher, Richard Roundtree, Regina Hall"
A Perfect Ending,"Nicole Conn, |, Stars:, Barbara Niven, Bryan Mordechai Jackson, Jessica Clark, John Heard"
Moxie,"Amy Poehler, |, Stars:, Hadley Robinson, Lauren Tsai, Alycia Pascual-Pena, Nico Hiraga"
Cloudy with a Chance of Meatballs 2,"Cody Cameron, Kris Pearn, |, Stars:, Bill Hader, Anna Faris, Will Forte, Neil Patrick Harris"
Code 8,"Jeff Chan, |, Stars:, Kari Matchett, Robbie Amell, Penny Eizenga, Lawrence Bayne"
The Longest Night,"Alberto Ammann, Luis Callejo, Bárbara Goenaga, José Luis García-Pérez"
The Chair,"Sandra Oh, Jay Duplass, Bob Balaban, Nana Mensah"
The Good Cop,"Tony Danza, Josh Groban, Monica Barbaro, Isiah Whitlock Jr."
Our Blues,"Lee Byung-hun, Shin Min-a, Kim Woo-bin, Han Ji-min"
The Two Popes,"Fernando Meirelles, |, Stars:, Jonathan Pryce, Anthony Hopkins, Juan Minujín, Luis Gnecco"
Our Beloved Summer,"Choi Woo-sik, Kim Da-Mi, Kim Sung-cheol, No Jeong-ee"
Da 5 Bloods,"Spike Lee, |, Stars:, Delroy Lindo, Jonathan Majors, Clarke Peters, Norm Lewis"
The Kindergarten Teacher,"Sara Colangelo, |, Stars:, Maggie Gyllenhaal, Gael García Bernal, Ato Blankson-Wood, Libya Pugh"
Lara Croft Tomb Raider: The Cradle of Life,"Jan de Bont, |, Stars:, Angelina Jolie, Gerard Butler, Chris Barrie, Ciarán Hinds"
Get Rich or Die Tryin',"Jim Sheridan, |, Stars:, 50 Cent, Joy Bryant, Adewale Akinnuoye-Agbaje, Omar Benson Miller"
Back to the Outback,"Harry Cripps, Clare Knight, |, Stars:, Eric Bana, Tim Minchin, Miranda Tapsell, Angus Imrie"
The Hour,"Romola Garai, Ben Whishaw, Dominic West, Anna Chancellor"
Malnazidos,"Alberto de Toro, Javier Ruiz Caldera, |, Stars:, Miki Esparbé, Aura Garrido, Luis Callejo, Álvaro Cervantes"
The Marked Heart,"Michel Brown, Ana Lucía Domínguez, Margarita Muñoz, Jacqueline Arenal"
Monty Python's Flying Circus,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle"
True Story,"Rupert Goold, |, Stars:, James Franco, Jonah Hill, Felicity Jones, Maria Dizzia"
Wet Hot American Summer: First Day of Camp,"Marguerite Moreau, Zak Orth, Paul Rudd, Michael Showalter"
For Life,"Nicholas Pinnock, Indira Varma, Joy Bryant, Dorian Missick"
Ma Rainey's Black Bottom,"George C. Wolfe, |, Stars:, Viola Davis, Chadwick Boseman, Glynn Turman, Colman Domingo"
The Most Hated Man on the Internet,"Charlotte Laws, Charles Parselle, Kayla Laws, Kirra Hughes"
Yakamoz S-245,"Kivanç Tatlitug, Jerry Hoffmann, Ecem Uzun, Özge Özpirinçci"
Beckett,"Ferdinando Cito Filomarino, |, Stars:, John David Washington, Boyd Holbrook, Vicky Krieps, Alicia Vikander"
Close Enough,"J.G. Quintel, Gabrielle Walsh, Jason Mantzoukas, Kimiko Glenn"
I Don't Feel at Home in This World Anymore.,"Macon Blair, |, Stars:, Melanie Lynskey, Chris Doubek, Marilyn Faith Hickey, Jared Roylance"
Jackass 4.5,"Jeff Tremaine, |, Stars:, Johnny Knoxville, Steve-O, Chris Pontius, Dave England"
White Lines,"Laura Haddock, Nuno Lopes, Marta Milans, Daniel Mays"
Avengement,"Jesse V. Johnson, |, Stars:, Scott Adkins, Craig Fairbrass, Thomas Turgoose, Nick Moran"
Skyscraper,"Rawson Marshall Thurber, |, Stars:, Dwayne Johnson, Neve Campbell, Chin Han, Roland Møller"
In the Name of the King: A Dungeon Siege Tale,"Uwe Boll, |, Stars:, Jason Statham, Ron Perlman, Ray Liotta, Leelee Sobieski"
Instant Dream Home,"Danielle Brooks, Paige Mobley, Adair Curtis, Erik Curtis"
Jeopardy!,"Alex Trebek, Johnny Gilbert, Jimmy McGuire, Sarah Whitcomb Foss"
Black Lagoon,"Megumi Toyoguchi, Daisuke Namikawa, Brad Swaile, Maryke Hendrikse"
Smurfs: The Lost Village,"Kelly Asbury, |, Stars:, Demi Lovato, Rainn Wilson, Joe Manganiello, Jack McBrayer"
Turning Point: 9/11 and the War on Terror,James LaPorta
Goblin Slayer,"Yuichiro Umehara, Yui Ogura, Brad Hawkins, Hayden Daviau"
Bungou Stray Dogs,"Kaiji Tang, Mamoru Miyano, Max Mittelman, Yûto Uemura"
My Mister,"Lee Sun-kyun, Ji-eun Lee, Ji-Ah Lee, Park Ho-San"
The Stronghold,"Cédric Jimenez, |, Stars:, Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos"
Mako Mermaids,"Chai Hansen, Dominic Deutscher, Gemma Forsyth, Rowan Hills"
Bitten,"Laura Vandervoort, Greyston Holt, Greg Bryk, Steve Lund"
Indian Matchmaking,"Sima Taparia, Viral Joshi, Aparna Shewakramani, Akshay Jakhete"
Shtisel,"Doval'e Glickman, Michael Aloni, Neta Riskin, Shira Haas"
Shutter,"Banjong Pisanthanakun, Parkpoom Wongpoom, |, Stars:, Ananda Everingham, Natthaweeranuch Thongmee, Achita Sikamana, Unnop Chanpaibool"
The Royal Treatment,"Rick Jacobson, |, Stars:, Laura Marano, Mena Massoud, Julie Edwards, Talia Lesser"
Hap and Leonard,"James Purefoy, Michael Kenneth Williams, Tiffany Mack, Cranston Johnson"
Valley of the Dolls,"Mark Robson, |, Stars:, Barbara Parkins, Patty Duke, Paul Burke, Sharon Tate"
Stateless,"Yvonne Strahovski, Jai Courtney, Asher Keddie, Fayssal Bazzi"
Farzar,"David Kaye, Jerry Minor, Lance Reddick, Dana Snyder"
Contraband,"Baltasar Kormákur, |, Stars:, Mark Wahlberg, Giovanni Ribisi, Kate Beckinsale, Robert Wahlberg"
Rascal Does Not Dream of Bunny Girl Senpai,"Kaito Ishikawa, Asami Seto, Yurika Kubo, Atsumi Tanezaki"
Over the Moon,"Glen Keane, John Kahrs, |, Stars:, Glen Keane, Brycen Hall, Ruthie Ann Miles, John Cho"
Portlandia,"Fred Armisen, Carrie Brownstein, Kyle MacLachlan, Sam Adams"
Beirut,"Brad Anderson, |, Stars:, Jon Hamm, Jay Potter, Khalid Benchagra, Ania Josse"
Batman,"Leslie H. Martinson, |, Stars:, Adam West, Burt Ward, Lee Meriwether, Cesar Romero"
The Paramedic,"Carles Torras, |, Stars:, Mario Casas, Déborah François, Guillermo Pfening, Maria Rodríguez Soto"
War Machine,"David Michôd, |, Stars:, Brad Pitt, Daniel Betts, John Magaro, Emory Cohen"
The English Game,"Edward Holcroft, Kevin Guthrie, Charlotte Hope, Niamh Walsh"
Whisper of the Heart,"Yoshifumi Kondô, |, Stars:, Yoko Honna, Issey Takahashi, Takashi Tachibana, Shigeru Muroi"
The Iceman,"Ariel Vromen, |, Stars:, Michael Shannon, Chris Evans, James Franco, Winona Ryder"
Spy Kids 2: Island of Lost Dreams,"Robert Rodriguez, |, Stars:, Alexa PenaVega, Daryl Sabara, Antonio Banderas, Carla Gugino"
Taken 2,"Olivier Megaton, |, Stars:, Liam Neeson, Famke Janssen, Maggie Grace, Leland Orser"
High Seas,"Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín"
Dude,"Olivia Milch, |, Stars:, Lucy Hale, Kathryn Prescott, Alexandra Shipp, Awkwafina"
Relic,"Natalie Erika James, |, Stars:, Robyn Nevin, Emily Mortimer, Bella Heathcote, Steve Rodgers"
Cuties,"Maïmouna Doucouré, |, Stars:, Fathia Youssouf, Médina El Aidi-Azouni, Esther Gohourou, Ilanah Cami-Goursolas"
Berserk,"Max Mittelman, Sarah Anne Williams, Erik Scott Kimerer, Hiroaki Iwanaga"
Tall Girl,"Nzingha Stewart, |, Stars:, Ava Michelle, Griffin Gluck, Sabrina Carpenter, Paris Berelc"
Single All the Way,"Michael Mayer, |, Stars:, Michael Urie, Philemon Chambers, Luke Macfarlane, Barry Bostwick"
The Get Down,"Justice Smith, Shameik Moore, Herizen F. Guardiola, Skylan Brooks"
The One I Love,"Charlie McDowell, |, Stars:, Mark Duplass, Elisabeth Moss, Ted Danson, Kiana Cason"
Country Comfort,"Katharine McPhee, Eddie Cibrian, Ricardo Hurtado, Jamie Martin Mann"
KILL la KILL,"Ami Koshimizu, Aya Suzaki, Toshihiko Seki, Shin'ichirô Miki"
Love and Leashes,"Hyeon-jin Park, |, Stars:, Seohyun, Joon-Young Lee, Jennifer Sun Bell, Lee El"
Konosuba: God's Blessing on This Wonderful World!,"Jun Fukushima, Sora Amamiya, Rie Takahashi, Ai Kayano"
Sijipeuseu: The Myth,"Cho Seung-woo, Park Shin-Hye, Dawn Anderson, In-ho Tae"
Hellsing Ultimate,"Katie Gray, Crispin Freeman, Victoria Harwood, Ralph Lister"
Nobody Sleeps in the Woods Tonight,"Bartosz M. Kowalski, |, Stars:, Julia Wieniawa-Narkiewicz, Michal Lupa, Wiktoria Gasiewska, Stanislaw Cywka"
Blitz,"Elliott Lester, |, Stars:, Jason Statham, Paddy Considine, Aidan Gillen, Zawe Ashton"
Rake,"Richard Roxburgh, Matt Day, Kate Box, Caroline Brazier"
Feel the Beat,"Elissa Down, |, Stars:, Sofia Carson, Pamela MacDonald, Sonia Laplante, Nayo"
The Night Comes for Us,"Timo Tjahjanto, |, Stars:, Iko Uwais, Joe Taslim, Julie Estelle, Hannah Al Rashid"
Wu Assassins,"Iko Uwais, Byron Mann, Li Jun Li, Lawrence Kao"
The Last Thing He Wanted,"Dee Rees, |, Stars:, Anne Hathaway, Ben Affleck, Rosie Perez, Willem Dafoe"
Apollo 10½: A Space Age Childhood,"Richard Linklater, |, Stars:, Milo Coy, Jack Black, Lee Eddy, Bill Wise"
The 7 Lives of Lea,"Raïka Hazanavicius, Khalil Ben Gharbia, Marguerite Thiam, Maïra Schmitt"
Black Mirror: Bandersnatch,"David Slade, |, Stars:, Fionn Whitehead, Craig Parkinson, Alice Lowe, Asim Chaudhry"
The Uncanny Counter,"Byeong-gyu Jo, Joon-Sang Yoo, Se-Jeong Kim, Yeom Hye-ran"
Thar,"Raj Singh Chaudhary, |, Stars:, Anil Kapoor, Harshvardhan Kapoor, Fatima Sana Shaikh, Jitendra Joshi"
Unthinkable,"Gregor Jordan, |, Stars:, Samuel L. Jackson, Carrie-Anne Moss, Michael Sheen, Stephen Root"
Control Z,"Ana Valeria Becerril, Michael Ronda, Yankel Stevan, Luis Curiel"
Queer Eye,"Jonathan Van Ness, Antoni Porowski, Karamo Brown, Tan France"
Fistful of Vengeance,"Roel Reiné, |, Stars:, Iko Uwais, Lewis Tan, Lawrence Kao, Pearl Thusi"
Welcome Home,"George Ratliff, |, Stars:, Emily Ratajkowski, Aaron Paul, Riccardo Scamarcio, Katy Louise Saunders"
Gurren Lagann,"Tetsuya Kakihara, Shizuka Itô, Yuri Lowenthal, Marina Inoue"
The Concubine,"Dae-seung Kim, |, Stars:, Cho Yeo-jeong, Dong-wook Kim, Min-Joon Kim, Ji-Young Park"
Teenage Bounty Hunters,"Maddie Phillips, Anjelica Bette Fellini, Kadeem Hardison, Virginia Williams"
Claymore,"Todd Haberkorn, Stephanie Young, Houko Kuwashima, Cherami Leigh"
Rebelde,"Azul Guaita Bracamontes, Franco Masini, Sergio Mayer Mori, Andrea Chaparro"
Berlin Syndrome,"Cate Shortland, |, Stars:, Teresa Palmer, Max Riemelt, Matthias Habich, Emma Bading"
Pretty Smart,"Emily Osment, Gregg Sulkin, Olivia Macklin, Cinthya Carmona"
Hospital Playlist,"Jo Jung-Suk, Yoo Yeon-Seok, Jung Kyung-ho, Dae-Myung Kim"
Gabby's Dollhouse,"Laila Lockhart Kraner, Tucker Chandler, Donovan Patton, Juliet Donenfeld"
Giri/Haji,"Takehiro Hira, Kelly Macdonald, Yôsuke Kubozuka, Will Sharpe"
The Real Housewives of Atlanta,"Kandi Burruss, Cynthia Bailey, NeNe Leakes, Kenya Moore"
Perfume,"Friederike Becht, August Diehl, Wotan Wilke Möhring, Natalia Belitski"
Big Bug,"Jean-Pierre Jeunet, |, Stars:, Isabelle Nanty, Elsa Zylberstein, Claude Perron, Stéphane De Groodt"
On Becoming a God in Central Florida,"Kirsten Dunst, Théodore Pellerin, Mel Rodriguez, Beth Ditto"
Fun Mom Dinner,"Alethea Jones, |, Stars:, Katie Aselton, Toni Collette, Bridget Everett, Molly Shannon"
Aranyak,"Parambrata Chattopadhyay, Raveena Tandon, Ashutosh Rana, Zakhir Hussain"
Darling in the Franxx,"Yûto Uemura, Kana Ichinose, Nanami Yamashita, Saori Hayami"
Our Planet,David Attenborough
Touch of Evil,"Orson Welles, |, Stars:, Charlton Heston, Orson Welles, Janet Leigh, Joseph Calleia"
Lost Bullet,"Guillaume Pierret, |, Stars:, Alban Lenoir, Nicolas Duvauchelle, Ramzy Bedia, Stéfi Celma"
